Hand,Feet,Tongue,Mis
0.9107142857142856,0.6785714285714286,0.7678571428571429,0.8928571428571429
0.9285714285714286,0.875,0.7857142857142857,0.6428571428571429
0.8392857142857143,0.6607142857142857,0.7321428571428571,0.9107142857142856
0.6607142857142857,0.8035714285714286,0.8214285714285714,0.75
0.8035714285714286,0.8571428571428571,0.6607142857142857,0.75
0.875,0.9285714285714286,0.8035714285714286,0.75
0.75,0.6785714285714286,0.5714285714285714,0.875
0.8392857142857143,0.9285714285714286,0.75,0.6428571428571429
0.7678571428571429,0.7678571428571429,0.7678571428571429,0.6964285714285714
0.9107142857142856,0.875,0.75,0.7142857142857143
0.8928571428571429,0.8571428571428571,0.7678571428571429,0.6785714285714286
0.7142857142857143,0.7321428571428571,0.8392857142857143,0.9107142857142856
0.8035714285714286,0.7142857142857143,0.8214285714285714,0.8035714285714286
0.6964285714285714,0.7678571428571429,0.8571428571428571,0.625
0.8392857142857143,0.7142857142857143,0.8928571428571429,0.75
0.8928571428571429,0.6607142857142857,0.6071428571428571,0.8214285714285714
0.875,0.8392857142857143,0.6964285714285714,0.7142857142857143
0.625,0.625,0.7678571428571429,0.7678571428571429
0.7857142857142857,0.7678571428571429,0.7142857142857143,0.7857142857142857
0.7857142857142857,0.7857142857142857,0.6071428571428571,0.7142857142857143
0.8571428571428571,0.9642857142857144,0.7857142857142857,0.7321428571428571
0.7142857142857143,0.6428571428571429,0.6964285714285714,0.8392857142857143
0.9285714285714286,0.9464285714285714,0.6428571428571429,0.5714285714285714
0.625,0.7857142857142857,0.7857142857142857,0.6964285714285714
0.875,0.8214285714285714,0.6964285714285714,0.7142857142857143
0.9107142857142856,0.8035714285714286,0.6607142857142857,0.6428571428571429
0.6785714285714286,0.6607142857142857,0.8214285714285714,0.8928571428571429
0.8571428571428571,0.7321428571428571,0.7678571428571429,0.7678571428571429
0.7142857142857143,0.6785714285714286,0.8571428571428571,0.5357142857142857
0.8928571428571429,0.75,0.7678571428571429,0.7678571428571429
0.8035714285714286,0.5178571428571429,0.5714285714285714,0.8214285714285714
0.875,0.8214285714285714,0.875,0.75
0.4821428571428571,0.6964285714285714,0.7857142857142857,0.8035714285714286
0.5357142857142857,0.7321428571428571,0.6964285714285714,0.7142857142857143
0.7142857142857143,0.8035714285714286,0.75,0.5178571428571429
0.8392857142857143,0.9821428571428572,0.75,0.6964285714285714
0.6964285714285714,0.5,0.5535714285714286,0.6607142857142857
0.7678571428571429,0.9464285714285714,0.6071428571428571,0.5892857142857143
0.5892857142857143,0.7678571428571429,0.6607142857142857,0.7321428571428571
0.8571428571428571,0.6785714285714286,0.5892857142857143,0.6428571428571429
0.9107142857142856,0.7321428571428571,0.6607142857142857,0.6785714285714286
0.5535714285714286,0.625,0.7321428571428571,0.8035714285714286
0.7857142857142857,0.6964285714285714,0.75,0.7678571428571429
